大吉,多く望まなければ　叶う,今は苦しくとも　気を待てば　流れが来る,努力しただけ　力になる
大吉,全て円満に叶う,大きな成果に恵まれる,素晴らしい結果になる
大吉,全て思い通りに叶う,非常に好調　人との縁を大切に,努力が身を結ぶ
大吉,天の助けを得て大願成就,活気溢れ　大いに繁盛,目標達成は確実
大吉,天の導きありて　困難も喜びとなる,隆盛を極める時,叡智が開花する時
大吉,心願成就,商売繁盛　万事順調,優れた才を発揮
大吉,万事順風,商機到来,天賦の才が開花
中吉,力を合わせればきっと叶う,良き取引先に恵まれる,集中力が途切れた時は　ひと休み
中吉,困難あれど叶う,堅実に吉,努力怠るべからず
中吉,遅れても叶う,地道な努力が実を結ぶ,粘り強く励め
中吉,遅きを得て叶う,大儲けは望めずとも　損はなし,今は基礎を固めよ
中吉,望み届く,大きな波は期待できず,努力は将来実る
中吉,叶うに時間かかる,大儲けは期待薄,着実に力を蓄える
中吉,叶うに遅れあり,大儲けは望めず　地道な努力が実を結ぶ,粘り強く励むべし
小吉,叶うまで時間がかかる,今は労多くして利少なし,歩みは遅いが　着実にみのる
小吉,時を待つべし,利益薄くとも損なし,油断大敵　地道な努力を怠るな
小吉,望みは叶うも　時を待つべし,利益わずかなり,心を緩めるな
小吉,望みは叶うも　容易ならず,大当たりは望めず,油断大敵　着実に学び続けよ
小吉,急がず焦らず　時を待つべし,利益わずかなり,心を緩めるな
小吉,叶うは遅し　時を待つべし,無理な手は打つべからず,地道な努力こそ　のちに実を結ぶ
小吉,時期尚早,利益薄し　無理な投資は避けよ,油断は禁物
末吉,今は叶いにくい　時を待て,焦っては損をする,怠らず真面目に取り組むべし
末吉,叶うは難し,思うように進まず　新しい手は控えよ,困難多し　粘り強く取り組め
末吉,叶うは難し　静かに時を待つべし,利益薄し　無理な策は避けよ,成果は遅し　基礎を固めよ
末吉,叶うは困難を伴う,成果は望めず　現状維持に専念せよ,進歩は遅い　油断大敵
末吉,静かに時を待つべし,現状維持に努めよ,成果は遅し　粘り強く励め
末吉,叶わず,利益薄し　無理な策は避けよ,成果は遅し　粘り強く励め
末吉,耐え忍び　時を待つべし,損失の恐れあり,成果は望めず
吉,焦ることなかれ　機は来る,新しいことに利多し,伸びる時期　努力せよ
吉,叶う見込みあり,好転の兆しあり,努力次第で道は開ける
吉,叶う兆しあり,徐々に好転　焦らず堅実に進め,気を緩めず　真摯に取り組め
吉,願い成就に向かう,順風満帆,進歩が見える時
吉,願い叶う兆し,着実に利益増える,真面目に取り組むほど進歩あり
吉,叶う兆しあり,好転の時　徐々に利益増える,進歩あり　真面目に取り組め
吉,必ず望み届く,堅実に歩め,真摯に取り組めば　進歩あり
凶,膨らませるは自由　叶うはあなた次第,流れが来るまで無理するべからず,今回は諦め　次回に切り替えるべし
凶,叶わず　今はひたすら慎むべし,損失あり　現状維持に努めよ,困難極まる　辛抱強く励むべし
凶,叶わず　無理をせず時を待て,損失大　現状維持も困難,困難極まる　基礎から見直す時
凶,叶うことなし,困難な時期　損失の可能性あり,集中力散漫　努力も実を結ばず
凶,叶わず　動けば災いを招く,損失あり　現状維持も困難,怠れば後悔大
凶,ひたすら実を慎むべし,損失大　現状維持に努めよ,困難極まる　辛抱強く励め
凶,願い叶わず　ひたすら静かに過ごすべし,事業は低迷　新たな動きは全て凶となる,集中力に欠ける時